epoch,acc,loss,lr,val_acc,val_loss
0,0.410360000038147,1.7792345140838624,0.001,0.4693,1.6210983528137206
1,0.55236,1.3938411893081666,0.001,0.5489,1.4217940500259398
2,0.6061400000381469,1.2520920403289795,0.001,0.5972,1.310313948059082
3,0.647279999961853,1.1440032709884644,0.001,0.5793,1.412136211013794
4,0.6776800000190735,1.0558896902084351,0.001,0.6272,1.2337889003753661
5,0.7016600000190735,0.985279365196228,0.001,0.7028,0.9988889255523682
6,0.72076,0.9317193523216247,0.001,0.6464,1.2062809253692628
7,0.7386599999809265,0.8887290777206421,0.001,0.6908,1.0848624005317689
8,0.7495400000190735,0.8514223256492615,0.001,0.6843,1.1060008682250977
9,0.764459999961853,0.8141470701980591,0.001,0.643,1.2489173622131349
10,0.77242,0.7897670626068115,0.001,0.7224,1.0358082548141478
11,0.7825600000190734,0.7641608902740479,0.001,0.729,0.988581533241272
12,0.7869800000381469,0.7445502763748169,0.001,0.6675,1.1494234996795654
13,0.79342,0.7255208422279358,0.001,0.7468,0.9105439566612243
14,0.799899999961853,0.7054662208747864,0.001,0.7854,0.7800797806739808
15,0.80716,0.6885279357910157,0.001,0.7126,1.0372011289596557
16,0.8113600000190735,0.6717107938957214,0.001,0.7421,0.9744976863861085
17,0.8166199999809265,0.6579995353507996,0.001,0.7705,0.8189688594818115
18,0.819659999961853,0.6500644440269471,0.001,0.7529,0.9120324952125549
19,0.8252399999809266,0.6355417110824585,0.001,0.7678,0.846514688205719
20,0.82802,0.6241290556335449,0.001,0.8005,0.7254425260543823
21,0.8319999999809266,0.6166142463874816,0.001,0.8211,0.6659421008110047
22,0.835660000038147,0.6028100512123108,0.001,0.7846,0.7910811583518982
23,0.8419200000381469,0.5904498211288453,0.001,0.8118,0.6820243263244629
24,0.8428000000381469,0.5833907912731171,0.001,0.7565,0.9043902406692504
25,0.8461400000381469,0.5732498314857483,0.001,0.8134,0.708334965133667
26,0.84612,0.5725451752853393,0.001,0.8167,0.6740796586990356
27,0.85078,0.5551306066322327,0.001,0.8121,0.6922281936645508
